Year,Country ,Continent,Sub Continent,Date,Arrivals 
2018,AFGHANISTAN,Asia,South Asia,2018/01/31,83
2018,AFGHANISTAN,Asia,South Asia,2018/02/28,150
2018,AFGHANISTAN,Asia,South Asia,2018/03/31,112
2018,AFGHANISTAN,Asia,South Asia,2018/04/30,40
2018,AFGHANISTAN,Asia,South Asia,2018/05/31,108
2018,AFGHANISTAN,Asia,South Asia,2018/06/30,44
2018,AFGHANISTAN,Asia,South Asia,2018/07/31,47
2018,AFGHANISTAN,Asia,South Asia,2018/08/31,78
2018,AFGHANISTAN,Asia,South Asia,2018/09/30,34
2018,AFGHANISTAN,Asia,South Asia,2018/10/31,41
2018,AFGHANISTAN,Asia,South Asia,2018/11/30,52
2018,AFGHANISTAN,Asia,South Asia,2018/12/31,72
2018,ALBANIA,Europe,Southern Europe,2018/01/31,14
2018,ALBANIA,Europe,Southern Europe,2018/02/28,15
2018,ALBANIA,Europe,Southern Europe,2018/03/31,5
2018,ALBANIA,Europe,Southern Europe,2018/04/30,16
2018,ALBANIA,Europe,Southern Europe,2018/05/31,12
2018,ALBANIA,Europe,Southern Europe,2018/06/30,15
2018,ALBANIA,Europe,Southern Europe,2018/07/31,11
2018,ALBANIA,Europe,Southern Europe,2018/08/31,19
2018,ALBANIA,Europe,Southern Europe,2018/09/30,14
2018,ALBANIA,Europe,Southern Europe,2018/10/31,13
2018,ALBANIA,Europe,Southern Europe,2018/11/30,12
2018,ALBANIA,Europe,Southern Europe,2018/12/31,31
2018,ALGERIA,Africa,North Africa,2018/01/31,38
2018,ALGERIA,Africa,North Africa,2018/02/28,35
2018,ALGERIA,Africa,North Africa,2018/03/31,28
2018,ALGERIA,Africa,North Africa,2018/04/30,24
2018,ALGERIA,Africa,North Africa,2018/05/31,12
2018,ALGERIA,Africa,North Africa,2018/06/30,19
2018,ALGERIA,Africa,North Africa,2018/07/31,24
2018,ALGERIA,Africa,North Africa,2018/08/31,71
2018,ALGERIA,Africa,North Africa,2018/09/30,27
2018,ALGERIA,Africa,North Africa,2018/10/31,20
2018,ALGERIA,Africa,North Africa,2018/11/30,27
2018,ALGERIA,Africa,North Africa,2018/12/31,43
2018,ANDORRA,Europe,Western Europe,2018/01/31,4
