n_estimators,max_depth,learning_rate,CV_resid_RMSE
25,2,0.01,25588.53
25,3,0.01,26567.33
25,4,0.01,26793.95
50,2,0.01,27138.87
50,3,0.01,28977.17
50,4,0.01,29344.12
100,2,0.01,31654.0
100,3,0.01,31699.22
100,4,0.01,31921.73
25,4,0.05,33101.92
25,3,0.05,33187.28
25,2,0.05,33703.89
200,4,0.01,35688.92
200,3,0.01,36676.59
200,2,0.01,36746.17
50,4,0.05,37292.5
25,4,0.1,37939.39
50,3,0.05,38327.8
50,2,0.05,38367.51
25,3,0.1,38419.46
25,2,0.1,38688.73
50,2,0.1,40050.11
100,2,0.05,40102.35
50,4,0.1,40984.08
100,3,0.05,41409.9
100,4,0.05,41720.96
50,3,0.1,41986.23
100,2,0.1,42390.99
200,2,0.05,42797.19
100,4,0.1,42878.27
200,4,0.1,43054.71
200,4,0.05,43323.41
200,3,0.05,43620.3
200,2,0.1,43967.44
100,3,0.1,44150.46
200,3,0.1,44876.87
