order,p,d,q,P,D,Q,s,Val_MAPE,AIC
"(2,1,0)(1,1,1,12)",2,1,0,1,1,1,12,16.431,1053.26
"(2,1,1)(1,1,1,12)",2,1,1,1,1,1,12,17.365,1053.56
"(2,1,1)(0,1,1,12)",2,1,1,0,1,1,12,21.022,1051.87
"(0,1,0)(1,1,1,12)",0,1,0,1,1,1,12,23.312,1143.09
"(1,1,1)(1,1,1,12)",1,1,1,1,1,1,12,23.435,1055.83
"(2,1,0)(1,1,0,12)",2,1,0,1,1,0,12,23.818,1060.77
"(2,1,1)(1,1,0,12)",2,1,1,1,1,0,12,24.212,1061.72
"(2,1,2)(1,1,0,12)",2,1,2,1,1,0,12,24.24,1063.4
"(0,1,1)(1,1,1,12)",0,1,1,1,1,1,12,24.928,1054.67
"(1,1,1)(0,1,1,12)",1,1,1,0,1,1,12,26.746,1054.03
"(0,1,0)(0,1,1,12)",0,1,0,0,1,1,12,27.188,1128.02
"(0,1,2)(1,1,1,12)",0,1,2,1,1,1,12,27.879,1027.13
"(0,1,2)(0,1,1,12)",0,1,2,0,1,1,12,28.466,1025.14
"(2,1,2)(0,1,1,12)",2,1,2,0,1,1,12,28.519,1027.59
"(2,1,2)(1,1,1,12)",2,1,2,1,1,1,12,28.615,1029.59
"(2,1,0)(0,1,1,12)",2,1,0,0,1,1,12,28.751,1090.27
"(1,1,2)(0,1,1,12)",1,1,2,0,1,1,12,29.382,1025.94
"(1,1,2)(1,1,1,12)",1,1,2,1,1,1,12,29.595,1027.94
"(0,1,1)(0,1,1,12)",0,1,1,0,1,1,12,30.125,1053.09
"(1,1,0)(1,1,1,12)",1,1,0,1,1,1,12,30.225,1092.26
"(1,1,2)(1,1,0,12)",1,1,2,1,1,0,12,30.386,1102.64
"(0,1,0)(1,1,0,12)",0,1,0,1,1,0,12,31.74,1127.59
"(0,1,2)(1,1,0,12)",0,1,2,1,1,0,12,34.382,1124.65
"(1,1,0)(0,1,1,12)",1,1,0,0,1,1,12,35.692,1090.62
"(1,1,1)(1,1,0,12)",1,1,1,1,1,0,12,35.964,1102.47
"(1,1,0)(1,1,0,12)",1,1,0,1,1,0,12,36.491,1103.16
"(0,1,1)(1,1,0,12)",0,1,1,1,1,0,12,36.788,1123.64
"(1,1,2)(0,1,0,12)",1,1,2,0,1,0,12,41.64,1346.84
"(2,1,0)(0,1,0,12)",2,1,0,0,1,0,12,43.098,1365.5
"(2,1,1)(0,1,0,12)",2,1,1,0,1,0,12,43.146,1367.54
"(2,1,2)(0,1,0,12)",2,1,2,0,1,0,12,43.726,1345.65
"(0,1,0)(0,1,0,12)",0,1,0,0,1,0,12,48.175,1396.74
"(0,1,2)(0,1,0,12)",0,1,2,0,1,0,12,49.389,1346.71
"(1,1,1)(0,1,0,12)",1,1,1,0,1,0,12,51.282,1369.52
"(0,1,1)(0,1,0,12)",0,1,1,0,1,0,12,51.942,1367.59
"(1,1,0)(0,1,0,12)",1,1,0,0,1,0,12,53.563,1393.63
